CODIGO,ESPECIE,ESPECIE,LONGITUD_mm
1.1.10,Squalius pyrenaicus,Nativo,62
1.1.10,Squalius pyrenaicus,Nativo,62
1.1.10,Squalius pyrenaicus,Nativo,63
1.1.10,Squalius pyrenaicus,Nativo,63
1.1.10,Squalius pyrenaicus,Nativo,63
1.1.10,Squalius pyrenaicus,Nativo,63
1.1.10,Squalius pyrenaicus,Nativo,63
1.1.10,Squalius pyrenaicus,Nativo,64
1.1.10,Squalius pyrenaicus,Nativo,64
1.1.10,Squalius pyrenaicus,Nativo,65
1.1.10,Squalius pyrenaicus,Nativo,65
1.1.10,Squalius pyrenaicus,Nativo,66
1.1.10,Squalius pyrenaicus,Nativo,66
1.1.10,Squalius pyrenaicus,Nativo,67
1.1.10,Squalius pyrenaicus,Nativo,67
1.1.10,Squalius pyrenaicus,Nativo,68
1.1.10,Squalius pyrenaicus,Nativo,70
1.1.10,Squalius pyrenaicus,Nativo,70
1.1.10,Squalius pyrenaicus,Nativo,71
1.1.10,Squalius pyrenaicus,Nativo,72
1.1.10,Squalius pyrenaicus,Nativo,72
1.1.10,Squalius pyrenaicus,Nativo,73
1.1.10,Squalius pyrenaicus,Nativo,74
1.1.10,Squalius pyrenaicus,Nativo,75
1.1.10,Squalius pyrenaicus,Nativo,75
1.1.10,Squalius pyrenaicus,Nativo,75
1.1.10,Squalius pyrenaicus,Nativo,75
1.1.10,Squalius pyrenaicus,Nativo,75
1.1.10,Squalius pyrenaicus,Nativo,75
1.1.10,Squalius pyrenaicus,Nativo,76
1.1.10,Squalius pyrenaicus,Nativo,78
1.1.10,Squalius pyrenaicus,Nativo,83
1.1.10,Squalius pyrenaicus,Nativo,83
1.1.10,Squalius pyrenaicus,Nativo,84
1.1.10,Squalius pyrenaicus,Nativo,89
1.1.10,Squalius pyrenaicus,Nativo,90
1.1.10,Squalius pyrenaicus,Nativo,94
1.1.10,Squalius pyrenaicus,Nativo,97
1.1.10,Squalius pyrenaicus,Nativo,104
1.1.10,Squalius pyrenaicus,Nativo,112
1.1.2,Salmo trutta,Nativo,64
1.1.2,Salmo trutta,Nativo,73
1.1.2,Salmo trutta,Nativo,75
1.1.2,Salmo trutta,Nativo,76
1.1.2,Salmo trutta,Nativo,82
1.1.2,Salmo trutta,Nativo,87
1.1.2,Salmo trutta,Nativo,93
1.1.2,Salmo trutta,Nativo,97
1.1.2,Salmo trutta,Nativo,97
1.1.2,Salmo trutta,Nativo,100
1.1.2,Salmo trutta,Nativo,106
1.1.2,Salmo trutta,Nativo,106
1.1.2,Salmo trutta,Nativo,110
1.1.2,Salmo trutta,Nativo,110
1.1.2,Salmo trutta,Nativo,110
1.1.2,Salmo trutta,Nativo,118
1.1.2,Salmo trutta,Nativo,121
1.1.2,Salmo trutta,Nativo,128
1.1.2,Salmo trutta,Nativo,152
1.1.2,Salmo trutta,Nativo,169
1.1.2,Salmo trutta,Nativo,169
1.1.2,Salmo trutta,Nativo,171
1.1.2,Salmo trutta,Nativo,174
1.1.2,Salmo trutta,Nativo,175
1.1.2,Salmo trutta,Nativo,189
1.1.2,Salmo trutta,Nativo,190
1.1.2,Salmo trutta,Nativo,191
1.1.2,Salmo trutta,Nativo,191
1.1.2,Salmo trutta,Nativo,192
1.1.2,Salmo trutta,Nativo,193
1.1.2,Salmo trutta,Nativo,196
1.1.2,Salmo trutta,Nativo,198
1.1.2,Salmo trutta,Nativo,200
1.1.2,Salmo trutta,Nativo,205
1.1.2,Salmo trutta,Nativo,206
1.1.2,Salmo trutta,Nativo,209
1.1.2,Salmo trutta,Nativo,214
1.1.2,Salmo trutta,Nativo,221
1.1.2,Salmo trutta,Nativo,224
1.1.2,Salmo trutta,Nativo,230
1.1.2,Salmo trutta,Nativo,238
1.1.2,Salmo trutta,Nativo,243
1.1.2,Salmo trutta,Nativo,262
1.1.2,Salmo trutta,Nativo,300
1.1.3,Salmo trutta,Nativo,68
1.1.3,Salmo trutta,Nativo,70
1.1.3,Salmo trutta,Nativo,70
1.1.3,Salmo trutta,Nativo,72
1.1.3,Salmo trutta,Nativo,73
1.1.3,Salmo trutta,Nativo,73
1.1.3,Salmo trutta,Nativo,74
1.1.3,Salmo trutta,Nativo,76
1.1.3,Salmo trutta,Nativo,79
1.1.3,Salmo trutta,Nativo,80
1.1.3,Salmo trutta,Nativo,80
1.1.3,Salmo trutta,Nativo,82
1.1.3,Salmo trutta,Nativo,85
1.1.3,Salmo trutta,Nativo,86
1.1.3,Salmo trutta,Nativo,87
1.1.3,Salmo trutta,Nativo,89
1.1.3,Salmo trutta,Nativo,91
1.1.3,Salmo trutta,Nativo,94
1.1.3,Salmo trutta,Nativo,94
1.1.3,Salmo trutta,Nativo,95
1.1.3,Salmo trutta,Nativo,96
1.1.3,Salmo trutta,Nativo,96
1.1.3,Salmo trutta,Nativo,98
1.1.3,Salmo trutta,Nativo,103
1.1.3,Salmo trutta,Nativo,103
1.1.3,Salmo trutta,Nativo,112
1.1.3,Salmo trutta,Nativo,123
1.1.3,Salmo trutta,Nativo,125
1.1.3,Salmo trutta,Nativo,134
1.1.3,Salmo trutta,Nativo,134
1.1.3,Salmo trutta,Nativo,135
1.1.3,Salmo trutta,Nativo,137
1.1.3,Salmo trutta,Nativo,139
1.1.3,Salmo trutta,Nativo,142
1.1.3,Salmo trutta,Nativo,142
1.1.3,Salmo trutta,Nativo,143
1.1.3,Salmo trutta,Nativo,143
1.1.3,Salmo trutta,Nativo,143
1.1.3,Salmo trutta,Nativo,144
1.1.3,Salmo trutta,Nativo,145
1.1.3,Salmo trutta,Nativo,149
1.1.3,Salmo trutta,Nativo,151
1.1.3,Salmo trutta,Nativo,152
1.1.3,Salmo trutta,Nativo,155
1.1.3,Salmo trutta,Nativo,157
1.1.3,Salmo trutta,Nativo,158
1.1.3,Salmo trutta,Nativo,158
1.1.3,Salmo trutta,Nativo,158
1.1.3,Salmo trutta,Nativo,159
1.1.3,Salmo trutta,Nativo,159
1.1.3,Salmo trutta,Nativo,160
1.1.3,Salmo trutta,Nativo,160
1.1.3,Salmo trutta,Nativo,160
1.1.3,Salmo trutta,Nativo,161
1.1.3,Salmo trutta,Nativo,162
1.1.3,Salmo trutta,Nativo,163
1.1.3,Salmo trutta,Nativo,163
1.1.3,Salmo trutta,Nativo,166
1.1.3,Salmo trutta,Nativo,166
1.1.3,Salmo trutta,Nativo,167
1.1.3,Salmo trutta,Nativo,169
1.1.3,Salmo trutta,Nativo,171
1.1.3,Salmo trutta,Nativo,171
