CODIGO,ALTITUD,CODIGO_S,EMBALSES_SC,Demb arr.(m),Demb ab.(m),Dist.Guadalq.(m),UTMX,UTMY
1.23.10,283,23,9,4064,7477,97072,199065.46,4199497.93
1.23.11,258,23,9,8754,1373,91161,202430.16,4197088.62
1.23.12,456,23,9,No existe,3286,113136,203184.88,4210376.44
1.23.13,327,23,9,7821,9967,100068,201628.67,4201997.49
1.23.15,411,23,9,5216,37366,91771,220222.26,4202788.39
1.23.16,360,23,9,18757,23636,78061,225610.31,4197873.83
1.23.17,429,23,9,No existe,7357,95265,221703.07,4205545.37
1.23.18,382,23,9,No existe,21423,75840,219623.78,4195678.62
1.23.20,354,23,9,No existe,11740,87768,199869.98,4187604.04
1.23.21,299,23,9,No existe,6453,82475,203607.36,4188056.52
1.23.22,336,23,9,28749,13732,68148,223938.62,4193812.24
1.23.23,318,23,9,33636,8790,63219,225275.64,4190075.11
1.23.24,188,23,9,1844,9495,68333,211948.81,4187357.89
1.23.25,170,23,9,7223,4097,62934,213809.66,4185010.04
1.23.26,354,23,9,No existe,7586,62030,221875.87,4187562.66
1.23.27,278,23,9,40806,1534,55958,223906.17,4184611.88
1.23.29,204,23,9,3350,4913,40762,229853.07,4178118.75
1.23.30,111,23,9,804,806,33658,232051.4,4173754.82
1.23.31,129,23,9,No existe,6127,31661,220579.61,4162142.7
1.23.32,31,23,9,2790,24957,20855,225844.48,4158557.96
1.23.35,2,23,9,8544,19157,11797,231907.32,4154385.62
1.23.39,419,23,9,No existe,11085.96664,123535.9757,193838.6444,4213603.458
1.23.41,546,23,9,No existe,17686.1258,130136.1348,194094.5429,4217794.005
1.23.42,563,23,9,No existe,57132.85832,115341.8397,210825.2895,4211412.086
1.23.43,477,23,9,No existe,49468.21213,107677.1935,214911.6513,4206951.193
1.23.45,450,23,9,No existe,48300.02302,106509.0044,216407.3902,4208321.073
1.23.46,426,23,9,3648,42810.94617,100934.5759,219385.1788,4205446.646
1.23.47,454,23,9,No existe,44679.89053,102803.5202,222499.3587,4206643.843
1.23.48,450,23,9,771,45679.19817,103802.8279,218950.6579,4207581.538
1.23.49,496,23,9,No existe,3814.292357,109281.3779,218837.3893,4212159.402
1.24.1,68,24.1,0,No existe,No existe,13212,225593.91,4141215.64
1.24.3,3,24.2,0,No existe,No existe,6846,226304.01,4128619.77
1.25.2,36,25,3,No existe,16861,85935,214232.17,4149572.74
1.25.4,24,25,3,16952,No existe,83691,215053.65,4147256.16
